Player,TEAM,AGE,GP,W,L,MIN,FGM,FGA,FGP,ThreePM,ThreePA,ThreePP,FTM,FTA,FTP,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,PTS,PLUSMINUS
David Lee,GSW,32,49,37,12,18.5,3.3,6.4,51.1,0,0,0,1.4,2.1,65.4,1.7,3.6,5.2,1.7,1,0.6,0.5,1.7,1,0,7.9,0.5
David Stockton,SAC,24,3,1,2,11,0.7,2,33.3,0.3,0.7,50,1,2,50,0,0.7,0.7,3,1.3,0.7,0,0.3,0,0,2.7,7.7
David Wear,SAC,24,2,0,2,3.5,0,1,0,0,0.5,0,0,0,0,1,0,1,0.5,0,0,0,0.5,0,0,0,-4.5
David West,IND,34,66,32,34,28.7,4.9,10.4,47.1,0.1,0.3,20,1.8,2.4,73.9,1.6,5.2,6.8,3.4,1.8,0.7,0.7,2.4,7,0,11.7,-0.3
DeAndre Jordan,LAC,26,82,56,26,34.4,4.6,6.5,71,0,0,25,2.3,5.7,39.7,4.8,10.1,15,0.7,1.3,1,2.2,3,47,0,11.5,7.6
DeJuan Blair,WAS,26,29,15,14,6.2,0.9,2,45.6,0,0,0,0.1,0.2,66.7,0.6,1.4,1.9,0.1,0.4,0.2,0,1.4,0,0,1.9,-2.1
DeMar DeRozan,TOR,25,60,37,23,35,6.8,16.5,41.3,0.4,1.5,28.4,6,7.2,83.2,0.7,3.9,4.6,3.5,2.3,1.2,0.2,2,4,0,20.1,2.2
DeMarcus Cousins,SAC,24,59,23,36,34.1,8.4,18.1,46.7,0,0.1,25,7.2,9.2,78.2,3.1,9.5,12.7,3.6,4.3,1.5,1.7,4.1,47,2,24.1,1.1
DeMarre Carroll,ATL,28,70,53,17,31.3,4.5,9.3,48.7,1.7,4.3,39.5,1.8,2.6,70.2,1.4,3.9,5.3,1.7,1.1,1.3,0.2,2.2,3,0,12.6,3
Dennis Schroder,ATL,21,77,57,20,19.7,3.7,8.6,42.7,0.7,1.9,35.1,1.9,2.3,82.7,0.4,1.8,2.1,4.1,1.9,0.6,0.1,1.6,5,0,10,0.1
Deron Williams,BKN,31,68,34,34,31.1,4.4,11.3,38.7,1.3,3.5,36.7,3,3.5,83.4,0.4,3.1,3.5,6.6,2.3,0.9,0.3,2.3,11,0,13,-0.2
Derrick Favors,UTA,23,74,33,41,30.8,6.5,12.4,52.5,0,0.1,16.7,3,4.5,66.9,2.6,5.6,8.2,1.5,1.6,0.8,1.7,2.8,23,0,16,0.8
Derrick Rose,CHI,26,51,33,18,30,6.6,16.4,40.5,1.5,5.3,28,3,3.7,81.3,0.7,2.5,3.2,4.9,3.2,0.7,0.3,1.2,4,0,17.7,2.4
Derrick Williams,SAC,24,74,27,47,19.8,2.9,6.6,44.7,0.7,2.1,31.4,1.8,2.6,68.4,0.6,2.2,2.7,0.7,0.8,0.5,0.1,0.9,1,0,8.3,-3.6
Devin Harris,DAL,32,76,45,31,22.2,2.9,6.9,41.8,1.3,3.5,35.7,1.7,2.1,81.5,0.2,1.6,1.8,3.1,1.1,1,0.2,1.9,0,0,8.8,1.3
Devyn Marble,ORL,22,16,3,13,13,0.9,2.8,31.8,0.3,1.4,18.2,0.3,1,31.3,0.3,1.6,1.9,1.1,0.6,0.6,0.1,0.9,0,0,2.3,-1
Dewayne Dedmon,ORL,25,59,17,42,14.3,1.5,2.7,56.2,0,0,0,0.6,1.1,53.1,2,3,5,0.2,0.9,0.3,0.8,2.4,2,0,3.7,-0.4
Dion Waiters,OKC,23,80,46,34,27.6,4.7,11.8,39.6,0.9,3.1,29.7,1.5,2.2,68,0.5,1.9,2.4,2,1.4,1.1,0.3,1.9,1,0,11.8,0.7
Dirk Nowitzki,DAL,37,77,47,30,29.6,6.3,13.8,45.9,1.4,3.6,38,3.3,3.8,88.2,0.6,5.4,5.9,1.9,1.1,0.5,0.4,2.1,6,0,17.3,3.1
Donald Sloan,IND,27,53,22,31,20.9,2.7,6.7,40.8,0.8,2.5,31.3,1.1,1.5,77.9,0.2,2.5,2.7,3.6,1.2,0.4,0,0.9,1,0,7.4,-1.6
Donatas Motiejunas,HOU,24,71,48,23,28.7,5,9.9,50.4,0.7,1.9,36.8,1.4,2.3,60.2,1.9,4,5.9,1.8,1.7,0.8,0.5,2.9,7,0,12,1.4
Dorell Wright,POR,29,48,28,20,12.3,1.5,4,37.9,0.9,2.3,38,0.7,0.9,81,0.3,2,2.3,0.9,0.4,0.4,0.2,1.1,0,0,4.6,1.6
Doug McDermott,CHI,23,36,23,13,8.9,1.2,3,40.2,0.4,1.1,31.7,0.3,0.4,66.7,0.2,1,1.2,0.2,0.5,0.1,0,0.8,0,0,3,-2.3
Draymond Green,GSW,25,79,64,15,31.5,4.3,9.7,44.3,1.4,4.2,33.7,1.7,2.5,66,1.4,6.7,8.2,3.7,1.7,1.6,1.3,3.2,18,1,11.7,10.6
Drew Gooden,WAS,33,51,31,20,16.9,2.2,5.4,39.9,0.5,1.2,39,0.7,0.9,77.3,1.4,3,4.4,1,0.5,0.4,0.2,1.8,2,0,5.4,0
Drew Gordon,PHI,24,9,0,9,7.9,0.9,2.1,42.1,0,0.3,0,0.1,0.2,50,0.8,1.2,2,0.2,0.9,0.1,0,0.8,0,0,1.9,-3.8
Dwight Buycks,LAL,26,6,1,5,20.5,3,6.7,45,1.2,1.8,63.6,1.5,1.7,90,0.3,1.7,2,2.3,2,0.5,0,0.5,0,0,8.7,-4
Dwight Howard,HOU,29,41,29,12,29.8,6.1,10.3,59.3,0,0,50,3.5,6.6,52.8,2.7,7.8,10.5,1.2,2.8,0.7,1.3,3.3,23,0,15.8,5.2
Dwight Powell,DAL,23,29,11,18,8.2,1.1,2.3,46.3,0.1,0.4,27.3,0.9,1.1,75.8,0.6,1.1,1.7,0.3,0.4,0.3,0.2,1.4,0,0,3.1,0
Dwyane Wade,MIA,33,62,28,34,31.8,8.2,17.5,47,0.5,1.6,28.4,4.6,6,76.8,0.9,2.6,3.5,4.8,3.4,1.2,0.3,1.7,3,0,21.5,-0.9
E'Twaun Moore,CHI,26,56,36,20,9,1.1,2.5,44.6,0.2,0.7,34.2,0.2,0.4,60,0.2,0.6,0.8,0.6,0.3,0.4,0.1,0.8,0,0,2.7,-0.5
Earl Barron,PHX,33,16,5,11,8.9,0.8,2.4,30.8,0.1,0.3,50,0.4,0.8,50,0.9,0.9,1.8,0.3,0.3,0.3,0.1,1.6,0,0,2,-3.6
Earl Clark,BKN,27,10,6,4,9.3,1.1,3,36.7,0.4,1.4,28.6,0.1,0.4,25,0.1,2.2,2.3,0.3,0.6,0.3,0.4,1.2,0,0,2.7,-2.8
Ed Davis,LAL,26,79,20,59,23.3,3.6,5.9,60.1,0,0,0,1.2,2.4,48.7,2.9,4.7,7.6,1.2,0.7,0.6,1.2,2.6,6,0,8.3,-3.4
